"Wavelength, µm","n","k"
0.35,2.15475377,1.7272373
0.355,2.11189917,1.75380456
0.36,2.07363598,1.7816741
0.365,2.03987535,1.81019868
0.37,2.01043963,1.83873653
0.375,1.98506065,1.8666679
0.38,1.96338142,1.89341158
0.385,1.94496115,1.91844086
0.39,1.929283,1.94129856
0.395,1.91576465,1.96161075
0.4,1.90377144,1.97909881
0.405,1.89263199,1.99358944
0.41,1.88165617,2.00502184
0.415,1.87015485,2.01345153
0.42,1.85746074,2.01905012
0.425,1.84294932,2.02210072
0.43,1.82605866,2.02298884
0.435,1.80630703,2.02218939
0.44,1.78330731,2.02025017
0.445,1.75677762,2.01777325
0.45,1.72654791,2.0153949
0.455,1.69256259,2.01376541
0.46,1.65487965,2.01352931
0.465,1.61366678,2.01530655
0.47,1.56919478,2.01967482
0.475,1.52182863,2.02715293
0.48,1.47201602,2.03818543
0.485,1.42027314,2.05312861
0.49,1.36716739,2.07223855
0.495,1.31329687,2.09566242
0.5,1.25926735,2.12343422
0.505,1.20566774,2.15547637
0.51,1.15304632,2.19160785
0.515,1.10188978,2.2315587
0.52,1.05260755,2.2749895
0.525,1.00552263,2.32151386
0.53,0.96086938,2.37072115
0.535,0.91879756,2.42219735
0.54,0.87938101,2.47554215
0.545,0.8426293,2.53038172
0.55,0.80850041,2.58637683
0.555,0.77691332,2.64322711
0.56,0.74775924,2.70067204
0.565,0.7209113,2.75848973
0.57,0.69623235,2.81649423
0.575,0.67358102,2.87453193
0.58,0.65281625,2.93247777
0.585,0.63380044,2.99023132
0.59,0.61640169,3.04771322
0.595,0.60049507,3.10486177
0.6,0.58596345,3.16163008
0.605,0.57269778,3.21798344
0.61,0.56059706,3.27389721
0.615,0.5495682,3.32935491
0.62,0.53952564,3.38434667
0.625,0.53039091,3.43886795
0.63,0.52209218,3.49291849
0.635,0.51456378,3.54650134
0.64,0.5077457,3.59962221
0.645,0.50158312,3.65228883
0.65,0.496026,3.70451047
0.655,0.49102861,3.75629755
0.66,0.48654918,3.8076613
0.665,0.48254956,3.85861352
0.67,0.47899482,3.90916634
0.675,0.47585303,3.95933209
0.68,0.47309494,4.00912313
0.685,0.47069374,4.05855176
0.69,0.46862486,4.10763015
0.695,0.46686572,4.15637026
0.7,0.46539561,4.20478378
0.705,0.46419545,4.25288211
0.71,0.4632477,4.30067636
0.715,0.46253621,4.34817728
0.72,0.46204608,4.39539526
0.725,0.46176354,4.44234035
0.73,0.46167589,4.48902227
0.735,0.4617714,4.53545034
0.74,0.46203919,4.58163355
0.745,0.46246918,4.62758056
0.75,0.46305205,4.67329967
0.755,0.46377913,4.71879886
0.76,0.46464238,4.76408579
0.765,0.46563432,4.80916782
0.77,0.46674799,4.854052
0.775,0.46797691,4.89874511
0.78,0.46931505,4.94325363
0.785,0.47075677,4.98758379
0.79,0.47229683,5.03174157
0.795,0.4739303,5.07573269
0.8,0.47565261,5.11956264
0.805,0.47745946,5.1632367
0.81,0.47934682,5.20675992
0.815,0.48131094,5.25013715
0.82,0.48334827,5.29337303
0.825,0.48545551,5.33647205
0.83,0.48762955,5.37943847
0.835,0.48986745,5.42227642
0.84,0.49216648,5.46498985
0.845,0.49452404,5.50758255
0.85,0.4969377,5.55005817
0.855,0.49940516,5.59242021
0.86,0.50192427,5.63467203
0.865,0.50449298,5.67681688
0.87,0.50710936,5.71885785
0.875,0.5097716,5.76079796
0.88,0.51247798,5.80264006
0.885,0.51522688,5.84438695
0.89,0.51801675,5.88604127
0.895,0.52084614,5.9276056
0.9,0.52371367,5.96908242
0.905,0.52661804,6.01047409
0.91,0.529558,6.05178293
0.915,0.53253239,6.09301113
0.92,0.53554008,6.13416084
0.925,0.53858003,6.1752341
0.93,0.54165121,6.2162329
0.935,0.54475267,6.25715915
0.94,0.54788351,6.29801471
0.945,0.55104286,6.33880134
0.95,0.55422989,6.37952078
0.955,0.55744381,6.42017469
0.96,0.56068389,6.46076466
0.965,0.5639494,6.50129226
0.97,0.56723967,6.54175898
0.975,0.57055405,6.58216627
0.98,0.57389191,6.62251553
0.985,0.57725267,6.66280813
0.99,0.58063575,6.70304536
0.995,0.58404062,6.7432285
1,0.58746676,6.78335878
1.005,0.59091368,6.82343739
1.01,0.5943809,6.86346548
1.015,0.59786797,6.90344417
1.02,0.60137446,6.94337453
1.025,0.60489994,6.98325762
1.03,0.60844402,7.02309444
1.035,0.61200632,7.062886
1.04,0.61558647,7.10263323
1.045,0.61918412,7.14233706
1.05,0.62279892,7.1819984
1.055,0.62643056,7.22161812
1.06,0.63007872,7.26119705
1.065,0.6337431,7.30073603
1.07,0.63742342,7.34023585
1.075,0.64111939,7.37969728
1.08,0.64483075,7.41912107
1.085,0.64855724,7.45850797
1.09,0.65229862,7.49785867
1.095,0.65605464,7.53717386
1.1,0.65982507,7.57645423
1.105,0.6636097,7.61570042
1.11,0.66740831,7.65491306
1.115,0.67122069,7.69409277
1.12,0.67504665,7.73324015
1.125,0.67888599,7.77235579
1.13,0.68273853,7.81144026
1.135,0.68660409,7.85049411
1.14,0.6904825,7.88951787
1.145,0.69437358,7.92851207
1.15,0.69827718,7.96747723
1.155,0.70219314,8.00641384
1.16,0.70612131,8.04532239
1.165,0.71006155,8.08420334
1.17,0.7140137,8.12305716
1.175,0.71797764,8.1618843
1.18,0.72195323,8.2006852
1.185,0.72594035,8.23946028
1.19,0.72993886,8.27820996
1.195,0.73394865,8.31693465
1.2,0.73796959,8.35563473
1.205,0.74200159,8.39431061
1.21,0.74604451,8.43296264
1.215,0.75009827,8.47159122
1.22,0.75416275,8.51019668
1.225,0.75823785,8.54877939
1.23,0.76232348,8.58733968
1.235,0.76641953,8.62587789
1.24,0.77052592,8.66439436
1.245,0.77464256,8.70288938
1.25,0.77876935,8.74136329
1.255,0.78290622,8.77981638
1.26,0.78705307,8.81824895
1.265,0.79120983,8.85666129
1.27,0.79537643,8.8950537
1.275,0.79955277,8.93342643
1.28,0.80373879,8.97177978
1.285,0.80795025,9.01011023
1.29,0.8137814,9.04803755
1.295,0.81963538,9.08594056
1.3,0.82551213,9.12381946
1.305,0.83141158,9.16167449
1.31,0.83733369,9.19950586
1.315,0.84327839,9.23731376
1.32,0.84924563,9.2750984
1.325,0.85523537,9.31285997
1.33,0.86124754,9.35059867
